line,sample_date,date,apterous,alate
WI-L40,6/29/2020,6/15/2020,25,0
WI-L40,6/29/2020,6/19/2020,6,0
Clover-2017-2,6/29/2020,6/7/2020,27,0
WIA-5D,6/29/2020,6/8/2020,10,0
R10,6/29/2020,6/15/2020,40,0
Clover-2017-6,6/29/2020,6/12/2020,44,3
UT3,6/29/2020,6/8/2020,52,2
WI-2016-593,6/29/2020,6/15/2020,3,0
WI-L4,6/29/2020,6/17/2020,64,6
WI-2016-746,6/29/2020,6/10/2020,33,9
WI-48,6/29/2020,6/12/2020,12,0
WI-L40,7/6/2020,6/15/2020,26,6
Clover-2017-2,7/6/2020,7/1/2020,15,1
WIA-5D,7/6/2020,6/8/2020,44,0
R10,7/6/2020,6/22/2020,12,1
Clover-2017-6,7/6/2020,6/15/2020,48,0
UT3,7/6/2020,6/15/2020,24,0
WI-2016-593,7/6/2020,6/15/2020,15,0
WI-L4,7/6/2020,6/19/2020,41,11
WI-2016-746,7/6/2020,6/12/2020,7,3
WI-48,7/6/2020,6/24/2020,27,0
WI-L40,7/13/2020,6/19/2020,41,14
Clover-2017-2,7/13/2020,7/1/2020,39,11
WIA-5D,7/13/2020,6/26/2020,58,6
R10,7/13/2020,6/22/2020,26,3
Clover-2017-6,7/13/2020,6/26/2020,26,1
UT3,7/13/2020,6/26/2020,25,0
WI-2016-593,7/13/2020,6/19/2020,24,4
WI-L4,7/13/2020,7/3/2020,20,0
WI-2016-746,7/13/2020,6/22/2020,29,1
WI-48,7/13/2020,7/6/2020,2,0
R10,7/20/2020,7/5/2020,19,1
WIA-5D,7/20/2020,7/13/2020,8,0
Clover-2017-2,7/20/2020,7/3/2020,21,2
WI-L40,7/20/2020,7/10/2020,11,1
WI-L4,7/20/2020,7/10/2020,10,0
WI-2016-593,7/20/2020,7/13/2020,9,9
UT3,7/20/2020,7/8/2020,73,3
Clover-2017-6,7/20/2020,7/3/2020,41,4
WI-48,7/20/2020,7/6/2020,10,5
WI-2016-746,7/20/2020,7/10/2020,33,19
R10,7/28/2020,7/17/2020,18,1
WIA-5D,7/28/2020,7/13/2020,23,6
Clover-2017-2,7/28/2020,7/17/2020,53,5
WI-L40,7/28/2020,7/10/2020,29,6
WI-L4,7/28/2020,7/13/2020,30,3
WI-2016-593,7/28/2020,7/13/2020,38,6
UT3,7/28/2020,7/17/2020,29,13
Clover-2017-6,7/28/2020,7/15/2020,38,20
WI-48,7/28/2020,7/10/2020,26,0
WIA-5D,8/4/2020,7/20/2020,39,0
WI-L4,8/4/2020,7/28/2020,17,0
UT3,8/4/2020,7/24/2020,1,1
Clover-2017-6,8/4/2020,7/24/2020,28,2
WI-48,8/4/2020,7/24/2020,33,1
WI-2016-746,8/4/2020,7/24/2020,7,1
R10,8/11/2020,8/4/2020,11,3
WIA-5D,8/11/2020,8/7/2020,2,0
Clover-2017-2,8/11/2020,7/31/2020,11,5
WI-L40,8/11/2020,8/4/2020,13,3
WI-L4,8/11/2020,8/4/2020,23,3
WI-2016-593,8/11/2020,7/17/2020,10,0
UT3,8/11/2020,7/24/2020,39,3
Clover-2017-6,8/11/2020,7/31/2020,2,1
WI-48,8/11/2020,8/7/2020,0,0
WI-2016-746,8/11/2020,7/24/2020,33,17
R10,8/11/2020,8/7/2020,8,2
WIA-5D,8/11/2020,8/7/2020,15,6
Clover-2017-2,8/11/2020,7/31/2020,28,13
WI-L40,8/11/2020,8/4/2020,36,25
WI-L4,8/11/2020,8/7/2020,31,14
WI-2016-593,8/11/2020,7/31/2020,30,0
UT3,8/11/2020,7/31/2020,10,1
Clover-2017-6,8/11/2020,7/31/2020,46,7
WI-48,8/11/2020,8/11/2020,14,19
WI-2016-746,8/11/2020,8/15/2020,3,0
R10,8/27/2020,8/11/2020,15,1
WIA-5D,8/27/2020,8/11/2020,36,3
Clover-2017-2,8/27/2020,8/7/2020,59,2
WI-L40,8/27/2020,8/7/2020,16,3
WI-L4,8/27/2020,8/18/2020,25,22
WI-2016-593,8/27/2020,8/18/2020,24,17
UT3,8/27/2020,8/7/2020,59,0
Clover-2017-6,8/27/2020,8/11/2020,29,0
WI-48,8/27/2020,8/14/2020,4,0
WI-2016-746,8/27/2020,8/14/2020,13,0
R10,8/31/2020,8/11/2020,39,1
WIA-5D,8/31/2020,8/24/2020,4,1
Clover-2017-2,8/31/2020,8/21/2020,2,1
WI-L40,8/31/2020,8/9/2020,53,3
WI-L4,8/31/2020,8/24/2020,6,0
WI-2016-593,8/31/2020,8/18/2020,15,14
UT3,8/31/2020,8/14/2020,9,1
Clover-2017-6,8/31/2020,8/14/2020,35,2
WI-48,8/31/2020,8/14/2020,15,0
WI-2016-746,8/31/2020,8/15/2020,11,23
R10,9/8/2020,8/24/2020,20,3
WIA-5D,9/8/2020,8/24/2020,29,21
Clover-2017-2,9/8/2020,8/21/2020,17,0
WI-L40,9/8/2020,8/21/2020,20,15
WI-L4,9/8/2020,8/24/2020,42,11
WI-2016-593,9/8/2020,8/21/2020,31,0
UT3,9/8/2020,8/14/2020,47,0
Clover-2017-6,9/8/2020,9/4/2020,3,3
WI-48,9/8/2020,8/27/2020,15,0
WI-2016-746,9/8/2020,8/31/2020,22,5
R10,9/14/2020,9/4/2020,1,1
WIA-5D,9/14/2020,8/31/2020,57,9
Clover-2017-2,9/14/2020,8/21/2020,29,5
WI-L40,9/14/2020,8/21/2020,39,18
WI-L4,9/14/2020,8/31/2020,10,0
WI-2016-593,9/14/2020,9/4/2020,0,0
UT3,9/14/2020,8/31/2020,33,0
Clover-2017-6,9/14/2020,9/4/2020,22,5
WI-48,9/14/2020,8/31/2020,23,0
WI-2016-746,9/14/2020,9/4/2020,2,0
R10,9/21/2020,9/4/2020,14,2
WIA-5D,9/21/2020,9/14/2020,10,1
Clover-2017-2,9/21/2020,9/10/2020,11,0
WI-L40,9/21/2020,9/4/2020,42,24
WI-L4,9/21/2020,9/10/2020,14,14
WI-2016-593,9/21/2020,9/4/2020,7,2
UT3,9/21/2020,9/10/2020,26,4
Clover-2017-6,9/21/2020,9/4/2020,35,6
WI-48,9/21/2020,9/14/2020,2,0
WI-2016-746,9/21/2020,9/4/2020,18,7
R10,9/28/2020,9/14/2020,34,0
WIA-5D,9/28/2020,9/17/2020,8,1
Clover-2017-2,9/28/2020,9/10/2020,30,14
WI-L40,9/28/2020,9/10/2020,29,7
WI-L4,9/28/2020,9/17/2020,3,30
WI-2016-593,9/28/2020,9/4/2020,39,0
UT3,9/28/2020,9/17/2020,3,2
Clover-2017-6,9/28/2020,9/24/2020,0,0
WI-48,9/28/2020,9/14/2020,26,1
WI-2016-746,9/28/2020,9/4/2020,0,0
R10,10/5/2020,9/28/2020,23,4
WIA-5D,10/5/2020,9/17/2020,28,1
Clover-2017-2,10/5/2020,9/17/2020,7,0
WI-L40,10/5/2020,9/17/2020,25,9
WI-L4,10/5/2020,9/24/2020,33,15
WI-2016-593,10/5/2020,9/14/2020,15,3
UT3,10/5/2020,9/17/2020,26,1
Clover-2017-6,10/5/2020,9/24/2020,5,2
WI-48,10/5/2020,9/17/2020,17,4
WI-2016-746,10/5/2020,9/24/2020,5,4
Sample2,10/5/2020,9/21/2020,1,0
Sample3,10/5/2020,9/21/2020,1,0
Sample1,10/5/2020,9/21/2020,3,0
Sample4,10/5/2020,9/21/2020,10,0
Sample5,10/5/2020,9/21/2020,0,0
R10,10/13/2020,10/5/2020,8,9
WIA-5D,10/13/2020,10/1/2020,11,2
Clover-2017-2,10/13/2020,10/1/2020,16,14
WI-L40,10/13/2020,9/24/2020,10,7
WI-L4,10/13/2020,10/5/2020,7,7
WI-2016-593,10/13/2020,10/1/2020,2,1
UT3,10/13/2020,9/28/2020,0,0
Clover-2017-6,10/13/2020,9/24/2020,5,0
WI-48,10/13/2020,10/8/2020,12,1
WI-2016-746,10/13/2020,9/24/2020,42,20
Sample3,10/13/2020,9/21/2020,6,0
Sample4,10/13/2020,9/21/2020,14,1
R10,10/25/2020,10/9/2020,16,2
WIA-5D,10/25/2020,10/9/2020,4,0
Clover-2017-2,10/25/2020,10/9/2020,28,11
WI-L40,10/25/2020,10/1/2020,31,10
