start-year,start-month,start-day,end-year,end-month,end-day,wasp_group,line,juv-exposed,juv-assayed,adult-end,juvenile-end,mummy-end
2020,12,20,2020,12,31,1,WIA-5D,10,9,1,25,5
2020,12,20,2020,12,31,2,WIA-5D,10,9,4,35,0
2020,12,20,2020,12,31,3,WIA-5D,10,9,6,86,0
2020,12,20,2020,12,31,4,WIA-5D,10,9,10,27,4
2020,12,20,2020,12,31,5,WIA-5D,10,8,0,0,1
2020,12,20,2020,12,31,6,WIA-5D,10,10,1,12,8
2020,12,20,2020,12,31,7,WIA-5D,10,10,4,6,9
2020,12,20,2020,12,31,8,WIA-5D,10,9,6,46,5
2020,12,20,2020,12,31,9,WIA-5D,10,10,1,66,4
2020,12,20,2020,12,31,10,WIA-5D,10,10,1,23,4
2020,12,20,2020,12,31,1,UT3,10,8,4,31,0
2020,12,20,2020,12,31,2,UT3,10,8,2,34,0
2020,12,20,2020,12,31,3,UT3,10,9,6,87,0
2020,12,20,2020,12,31,4,UT3,10,9,6,64,0
2020,12,20,2020,12,31,5,UT3,10,7,5,69,0
2020,12,20,2020,12,31,6,UT3,10,8,5,69,0
2020,12,20,2020,12,31,7,UT3,10,10,8,119,0
2020,12,20,2020,12,31,8,UT3,10,10,9,95,0
2020,12,20,2020,12,31,9,UT3,10,9,5,97,0
2020,12,20,2020,12,31,10,UT3,10,10,5,41,0
