start-year,start-month,start-day,end-year,end-month,end-day,wasp_group,round,line,juv-exposed,juv-assayed,adult-end,juvenile-end,mummy-end
2021,1,7,2021,1,17,1,1,UT3,10,10,3,38,0
2021,1,7,2021,1,17,2,1,UT3,10,10,5,17,0
2021,1,7,2021,1,17,3,1,UT3,10,10,5,45,0
2021,1,7,2021,1,17,4,1,WIA-5D,10,10,0,0,2
2021,1,7,2021,1,17,5,1,WIA-5D,10,10,0,0,6
2021,1,7,2021,1,17,6,1,WIA-5D,10,10,0,0,7
2021,1,7,2021,1,17,1,2,WIA-5D,10,10,1,3,7
2021,1,7,2021,1,17,2,2,WIA-5D,10,9,2,23,8
2021,1,7,2021,1,17,3,2,WIA-5D,10,10,3,24,4
2021,1,7,2021,1,17,4,2,UT3,10,10,5,20,0
2021,1,7,2021,1,17,5,2,UT3,10,10,5,68,0
2021,1,7,2021,1,17,6,2,UT3,10,11,7,65,0
