"Day_of_sampling","date","field_tr","aphids_1sweep","total_para","dissected","logAphids","wasp","wasps_1sweep","sweeps.wasps","trt"
0,"17.05.2001","300C",2.12,28,47,0.751416088683921,20,0.2,100,"Strips"
0,"17.05.2001","300N",1.28,41,50,0.246860077931526,10,0.1,100,"Insecticide"
0,"17.05.2001","300S",1.29,38,49,0.254642218373581,18,0.18,100,"Control"
0,"17.05.2001","520C",1.89,40,47,0.636576829071551,15,0.15,100,"Control"
0,"17.05.2001","520E",1.75,27,41,0.559615787935423,15,0.15,100,"Insecticide"
0,"17.05.2001","520W",1.89,39,47,0.636576829071551,9,0.09,100,"Strips"
0,"17.05.2001","585C",1.47,38,49,0.385262400790645,2,0.02,100,"Insecticide"
0,"17.05.2001","585N",1.24,36,50,0.215111379616945,15,0.15,100,"Control"
0,"17.05.2001","585S",1.42,33,48,0.350656871613169,18,0.18,100,"Strips"
11,"28.05.2001","520C",2.66,29,49,0.978326122793608,15,0.15,100,"Control"
11,"28.05.2001","520E",3.05,35,50,1.11514159061932,14,0.14,100,"Insecticide"
11,"28.05.2001","520W",3.27,29,50,1.18478998490916,11,0.11,100,"Strips"
11,"28.05.2001","585C",2.1,36,51,0.741937344729377,9,0.09,100,"Insecticide"
11,"28.05.2001","585N",1.98,30,49,0.683096844706444,7,0.07,100,"Control"
11,"28.05.2001","585S",1.71,31,47,0.536493370514568,5,0.05,100,"Strips"
14,"31.05.2001","300S",0.0625,9,39,-2.77258872223978,1,0.0025,400,"Control"
18,"04.06.2001","300S",0.0725,2,22,-2.62416871712151,2,0.005,400,"Control"
21,"07.06.2001","300S",0.2825,15,50,-1.26407672839564,8,0.02,400,"Control"
25,"11.06.2001","300C",0.76,15,47,-0.27443684570176,7,0.035,200,"Strips"
25,"11.06.2001","300N",0.005,1,1,-5.29831736654804,2,0.01,200,"Insecticide"
25,"11.06.2001","300S",1.265,15,50,0.235072122179483,7,0.035,200,"Control"
25,"11.06.2001","520C",0.0475,1,6,-3.04702556794154,7,0.0175,400,"Control"
25,"11.06.2001","585N",0.0175,2,2,-4.04555439805267,1,0.0025,400,"Control"
28,"14.06.2001","300C",0.455,22,49,-0.787457860031187,3,0.015,200,"Strips"
28,"14.06.2001","300N",0.02,1,3,-3.91202300542815,0,0,200,"Insecticide"
28,"14.06.2001","300S",0.76,22,50,-0.27443684570176,3,0.015,200,"Control"
28,"14.06.2001","520C",0.0425,20,28,-3.15825120305177,3,0.0075,400,"Control"
28,"14.06.2001","520W",0.1025,33,49,-2.27789248040367,2,0.005,400,"Strips"
28,"14.06.2001","585N",0.04,9,18,-3.2188758248682,0,0,400,"Control"
28,"14.06.2001","585S",0.045,11,15,-3.10109278921182,0,0,400,"Strips"
33,"19.06.2001","300N",0.03,0,2,-3.50655789731998,1,0.005,200,"Insecticide"
33,"19.06.2001","300S",0.81,8,50,-0.210721031315653,0,0,200,"Control"
33,"19.06.2001","520C",0.06,7,20,-2.81341071676004,8,0.02,400,"Control"
33,"19.06.2001","520E",0.0275,0,7,-3.59356927430961,1,0.0025,400,"Insecticide"
33,"19.06.2001","585C",0.015,1,4,-4.19970507787993,5,0.0125,400,"Insecticide"
33,"19.06.2001","585N",0.0425,2,11,-3.15825120305177,4,0.01,400,"Control"
35,"21.06.2001","300C",2.15,5,50,0.765467842139571,9,0.09,100,"Strips"
35,"21.06.2001","300N",0.21,1,50,-1.56064774826467,1,0.01,100,"Insecticide"
35,"21.06.2001","300S",1.54,4,50,0.431782416425538,4,0.04,100,"Control"
35,"21.06.2001","520C",0.23,8,50,-1.46967597005894,1,0.0025,400,"Control"
35,"21.06.2001","520E",0.095,0,15,-2.3538783873816,2,0.005,400,"Insecticide"
35,"21.06.2001","520W",0.345,3,29,-1.06421086195078,1,0.0025,400,"Strips"
35,"21.06.2001","585C",0.08,1,12,-2.52572864430826,2,0.005,400,"Insecticide"
35,"21.06.2001","585N",0.3075,5,50,-1.17928019173556,3,0.0075,400,"Control"
35,"21.06.2001","585S",0.29,7,50,-1.23787435600162,3,0.0075,400,"Strips"
39,"25.06.2001","300C",2.25,7,50,0.810930216216329,0,0,100,"Strips"
39,"25.06.2001","300N",0.31,3,50,-1.17118298150295,0,0,100,"Insecticide"
39,"25.06.2001","300S",2.49,3,50,0.912282710476616,2,0.02,100,"Control"
39,"25.06.2001","520C",0.73,1,50,-0.3147107448397,1,0.005,200,"Control"
39,"25.06.2001","520E",0.3,6,50,-1.20397280432594,1,0.005,200,"Insecticide"
39,"25.06.2001","520W",1.3,5,49,0.262364264467491,4,0.02,200,"Strips"
39,"25.06.2001","585C",0.185,4,51,-1.68739945390381,2,0.01,200,"Insecticide"
39,"25.06.2001","585N",0.44,3,49,-0.82098055206983,1,0.005,200,"Control"
39,"25.06.2001","585S",0.555,3,50,-0.588787165235702,3,0.015,200,"Strips"
42,"28.06.2001","300C",11.02,3,50,2.39971180372477,1,0.01,100,"Strips"
42,"28.06.2001","300N",1.33,3,50,0.285178942233662,51,0.51,100,"Insecticide"
42,"28.06.2001","300S",5.17,4,40,1.64287268852034,1,0.01,100,"Control"
42,"28.06.2001","520C",2.16,2,50,0.770108221696074,3,0.03,100,"Control"
42,"28.06.2001","520E",1.1,1,50,0.0953101798043249,2,0.02,100,"Insecticide"
42,"28.06.2001","520W",3.34,1,50,1.20597080698861,3,0.03,100,"Strips"
42,"28.06.2001","585C",1.31,1,49,0.27002713721306,2,0.01,200,"Insecticide"
42,"28.06.2001","585N",1.97,1,49,0.678033542749897,3,0.015,200,"Control"
42,"28.06.2001","585S",2.17,3,50,0.774727167552368,2,0.01,200,"Strips"
46,"02.07.2001","300C",9,2,50,2.19722457733622,1,0.02,50,"Strips"
46,"02.07.2001","300N",1.54,3,50,0.431782416425538,1,0.02,50,"Insecticide"
46,"02.07.2001","300S",8.6,2,50,2.15176220325946,1,0.02,50,"Control"
46,"02.07.2001","520C",3.2,8,50,1.16315080980568,4,0.08,50,"Control"
46,"02.07.2001","520E",2.48,9,45,0.908258560176891,3,0.06,50,"Insecticide"
46,"02.07.2001","520W",5.9,7,50,1.77495235091167,4,0.08,50,"Strips"
46,"02.07.2001","585C",2.4,2,54,0.8754687373539,3,0.06,50,"Insecticide"
46,"02.07.2001","585N",4.14,3,50,1.42069578783722,6,0.12,50,"Control"
46,"02.07.2001","585S",6.72,4,50,1.90508815453506,7,0.14,50,"Strips"
49,"05.07.2001","520C",8.04,6,50,2.08442908319087,1,0.02,50,"Control"
49,"05.07.2001","520E",3.74,6,50,1.31908561142644,2,0.04,50,"Insecticide"
49,"05.07.2001","520W",13.56,2,49,2.60712428251225,5,0.1,50,"Strips"
53,"09.07.2001","520C",20.98,4,50,3.04356960296815,6,0.12,50,"Control"
53,"09.07.2001","520E",10.3,6,50,2.33214389523559,5,0.1,50,"Insecticide"
53,"09.07.2001","520W",23.32,3,51,3.14931136148229,5,0.1,50,"Strips"
56,"12.07.2001","300N",0.04,1,6,-3.2188758248682,1,0.005,200,"Insecticide"
56,"12.07.2001","300S",0.7,1,50,-0.356674943938732,1,0.005,200,"Control"
56,"12.07.2001","585C",0.035,0,6,-3.35240721749272,0,0,200,"Insecticide"
56,"12.07.2001","585N",0.57,2,50,-0.562118918153541,4,0.02,200,"Control"
60,"16.07.2001","300N",0.59,1,50,-0.527632742082372,2,0.02,100,"Insecticide"
60,"16.07.2001","300S",4.55,0,50,1.51512723296286,3,0.03,100,"Control"
