Field,Date,Initials,Cycle,DISS_Initials,DISS_G_Unpara,DISS_G_Para,DISS_G_fungus,DISS_G_p+f,DISS_R_Unpara,DISS_R_Para,DISS_R_Fungus,DISS_R_p+f
506SE,20-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,20-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,20-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,20-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,20-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,20-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,20-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,20-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,20-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,20-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,20-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,20-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,20-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,20-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,20-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,20-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,20-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,20-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,23-May-19,CD,1,MB/CD,27,0,0,0,3,0,0,0
506SE,23-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,23-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,23-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,23-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,23-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,23-May-19,CD,1,MB,52,1,0,0,9,0,0,0
576N,23-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,23-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,23-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,23-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,23-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,23-May-19,CD,1,LBG,22,0,0,0,2,0,1,0
246,23-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,23-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,23-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,23-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,23-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,28-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,28-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,28-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,28-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,28-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,28-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,28-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,28-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,28-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,28-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,28-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,28-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,28-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,28-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,28-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,28-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,28-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,28-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,5/30/2019,MB,1,MB,63,17,8,0,6,2,1,1
506SE,5/30/2019,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,5/30/2019,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,5/30/2019,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,5/30/2019,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,5/30/2019,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,30-May-19,CD,1,"EG, CD, LBG",44,17,10,1,12,2,9,0
576N,30-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,30-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,30-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,30-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,30-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,30-May-19,MB,1,"CD, LBG",72,4,6,0,18,0,0,0
246,30-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,30-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,30-May-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,30-May-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,30-May-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,3-Jun-19,CD,1,LBG/CD,64,9,3,0,17,5,2,0
506SE,3-Jun-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,3-Jun-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,3-Jun-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,3-Jun-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,3-Jun-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,3-Jun-19,CD,1,CD,55,7,2,0,28,5,3,0
576N,3-Jun-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,3-Jun-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,3-Jun-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,3-Jun-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,3-Jun-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,13-Jun-19,EG,2,LBG,63,2,3,0,11,0,1,0
506SE,13-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,13-Jun-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,13-Jun-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,13-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,13-Jun-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,13-Jun-19,CD,2,EG,27,6,28,0,3,0,8,0
576N,13-Jun-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,13-Jun-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,13-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,13-Jun-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,13-Jun-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,13-Jun-19,EG,2,EG,11,0,4,0,2,0,0,0
246,13-Jun-19,LBG,2,CD,NA,NA,NA,NA,NA,NA,NA,NA
246,13-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,13-Jun-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,13-Jun-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,13-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,17-Jun-19,EG,2,LBG,89,2,7,0,12,1,1,0
506SE,17-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,17-Jun-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,17-Jun-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,17-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,17-Jun-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,17-Jun-19,CD,2,"CD, EG",53,4,25,1,5,0,7,0
576N,17-Jun-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,17-Jun-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,17-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,17-Jun-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,17-Jun-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,17-Jun-19,CD,2,CD,74,5,1,0,20,0,0,0
246,17-Jun-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,17-Jun-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,17-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,17-Jun-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,17-Jun-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,17-Jun-19,MB,1,CD,74,3,0,0,22,1,0,0
218,17-Jun-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,17-Jun-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,17-Jun-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,17-Jun-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,17-Jun-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,20-Jun-19,LBG,2,CD,73,4,0,0,17,5,2,0
506SE,20-Jun-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,20-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,20-Jun-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,20-Jun-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,20-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,20-Jun-19,EG,2,CD,66,4,5,0,20,3,2,0
576N,20-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,20-Jun-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,20-Jun-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,20-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,20-Jun-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,20-Jun-19,EG,2,CD,73,7,0,0,25,3,0,0
246,20-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,20-Jun-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,20-Jun-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,20-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,20-Jun-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,20-Jun-19,EG,1,CD,70,2,1,0,26,3,0,0
218,20-Jun-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,20-Jun-19,LBG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,20-Jun-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,20-Jun-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,20-Jun-19,LBG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,20-Jun-19,EG,1,MB,70,12,1,0,20,2,0,1
408,20-Jun-19,LBG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,20-Jun-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,20-Jun-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,20-Jun-19,LBG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,20-Jun-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,26-Jun-19,EG,2,LBG,72,4,8,0,9,1,2,0
506SE,26-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,26-Jun-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,26-Jun-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,26-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,26-Jun-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,26-Jun-19,CD,2,LBG,68,9,3,0,20,4,9,0
576N,26-Jun-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,26-Jun-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,26-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,26-Jun-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,26-Jun-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,26-Jun-19,CD,2,LBG,56,12,7,0,18,1,1,0
246,26-Jun-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,26-Jun-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,26-Jun-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,26-Jun-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,26-Jun-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,26-Jun-19,CD,1,LBG,70,11,1,0,15,2,0,0
218,26-Jun-19,LBG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,26-Jun-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,26-Jun-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,26-Jun-19,LBG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,26-Jun-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,26-Jun-19,EF,1,CD,63,16,2,0,18,5,0,0
408,26-Jun-19,LBG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,26-Jun-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,26-Jun-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,26-Jun-19,LBG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,26-Jun-19,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,1-Jul-19,MB,2,CD,60,2,20,0,9,0,11,0
506SE,1-Jul-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,1-Jul-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,1-Jul-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,1-Jul-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
506SE,1-Jul-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,1-Jul-19,EG,2,CD,60,2,8,0,25,1,4,0
576N,1-Jul-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,1-Jul-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,1-Jul-19,EG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,1-Jul-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
576N,1-Jul-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,1-Jul-19,CD,2,CD,29,8,14,0,8,2,15,1
246,1-Jul-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,1-Jul-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,1-Jul-19,CD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,1-Jul-19,LBG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,1-Jul-19,MB,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,1-Jul-19,EG,1,CD,49,11,3,0,5,3,27,0
218,1-Jul-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,1-Jul-19,LBG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,1-Jul-19,EG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,1-Jul-19,CD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
