treatment,rep,start_date,red_line,green_line,cage,date,observer,plant1_red,plant2_red,plant3_red,plant4_red,plant5_red,plant6_red,plant7_red,plant8_red,plant9_red,plant10_red,plant11_red,plant12_red,plant13_red,plant14_red,plant15_red,plant16_red,plant1_green,plant2_green,plant3_green,plant4_green,plant5_green,plant6_green,plant7_green,plant8_green,plant9_green,plant10_green,plant11_green,plant12_green,plant13_green,plant14_green,plant15_green,plant16_green,wasps,mummies,alates_total_red,alates_total_green,alates_in_red,alates_in_green,replaced_plants,wasps_rm,mumm_rm,notes
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,06/14/2021,KVB,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,,,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,06/14/2021,KVB,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,,,,
DISPERSAL,7,06/14/2021,WIA-5D,UT3,WASP,06/14/2021,KVB,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,,,,
DISPERSAL,7,06/14/2021,WIA-5D,UT3,NO WASP,06/14/2021,KVB,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,,,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,06/14/2021,KVB,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,,,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,06/14/2021,KVB,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,WASP,06/14/2021,KVB,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,06/14/2021,KVB,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,,,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,06/14/2021,KVB,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,,,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,06/14/2021,KVB,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,,,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,06/17/2021,LAN,1,1,0,1,0,1,2,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,1,1,2,0,0,0,0,0,0,,,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,06/17/2021,CES,0,0,0,0,0,2,1,0,2,0,1,0,1,2,1,2,1,0,0,0,0,2,2,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,
DISPERSAL,7,06/14/2021,WIA-5D,UT3,WASP,06/17/2021,CES,0,1,0,8,1,2,0,0,0,0,2,1,12,0,1,5,1,0,3,0,0,2,2,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,,,,
DISPERSAL,7,06/14/2021,WIA-5D,UT3,NO WASP,06/17/2021,CES,0,2,15,0,1,1,1,3,0,0,2,0,0,1,29,1,0,2,0,1,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,06/17/2021,CES,1,1,1,1,0,2,1,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,06/17/2021,CES,0,9,1,1,0,8,0,0,0,0,1,0,2,1,2,6,2,23,0,0,1,3,2,2,0,1,2,1,19,3,6,4,0,0,0,0,0,0,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,WASP,06/17/2021,CES,1,17,0,1,0,2,13,1,0,0,1,1,1,0,0,0,2,0,0,0,0,2,1,2,0,2,0,1,0,0,0,0,0,0,,,,,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,06/17/2021,CES,1,6,1,1,1,0,0,45,0,16,2,0,1,1,0,1,9,0,1,2,0,1,5,2,0,1,0,0,0,1,1,1,0,0,,,,,,,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,06/17/2021,CES,11,1,4,0,2,1,3,0,0,1,1,1,12,36,0,1,0,1,0,0,12,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,,,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,06/17/2021,CES,0,0,0,0,3,1,0,32,0,7,0,5,8,0,8,16,10,0,1,1,5,3,1,0,1,1,7,1,3,0,2,1,0,0,0,0,0,0,,,,
