rep,date,time,mummies,adult females,adult males,adults unk.,notes
10,28-Oct-21,noon,0,1,0,0,
10,8-Nov-21,noon,11,0,0,0,
10,9-Nov-21,morning,9,0,0,0,
10,9-Nov-21,evening,0,0,2,0,
10,10-Nov-21,morning,6,0,1,0,
10,10-Nov-21,evening,0,1,1,0,
10,11-Nov-21,morning,0,0,1,0,
10,11-Nov-21,evening,0,4,0,0,
10,12-Nov-21,morning,0,2,1,0,
10,12-Nov-21,evening,0,0,0,0,
10,13-Nov-21,morning,0,2,0,0,
10,13-Nov-21,evening,0,0,0,0,
10,14-Nov-21,morning,0,0,0,0,
10,14-Nov-21,evening,0,0,0,0,
10,15-Nov-21,noon,0,0,0,0,
10,16-Nov-21,noon,0,1,0,0,
10,17-Nov-21,noon,0,0,0,0,
10,18-Nov-21,noon,0,0,0,0,
10,19-Nov-21,noon,0,0,0,0,
10,20-Nov-21,noon,0,0,0,0,
10,21-Nov-21,noon,1,0,0,0,
11,15-Nov-21,noon,15,0,0,0,
11,16-Nov-21,noon,16,0,0,0,
11,17-Nov-21,noon,15,0,0,0,
11,18-Nov-21,morning,2,0,0,0,
11,18-Nov-21,evening,0,1,0,1,unknown was probably female
11,19-Nov-21,noon,0,0,0,0,
11,20-Nov-21,morning,1,1,0,0,
11,20-Nov-21,evening,0,0,0,0,
11,21-Nov-21,noon,0,4,0,0,
10,22-Nov-21,morning,0,0,0,0,
11,22-Nov-21,morning,0,1,1,0,
10,22-Nov-21,evening,0,0,0,0,
11,22-Nov-21,evening,0,2,0,0,
10,23-Nov-21,morning,1,0,0,0,
11,23-Nov-21,morning,1,0,0,0,
10,23-Nov-21,evening,0,0,0,0,
11,23-Nov-21,evening,0,0,0,0,
10,24-Nov-21,morning,2,0,0,0,
11,24-Nov-21,morning,0,2,1,0,
10,24-Nov-21,evening,0,0,0,0,
11,24-Nov-21,evening,0,0,0,0,
10,25-Nov-21,noon,21,0,0,0,
11,25-Nov-21,noon,0,0,0,1,
10,26-Nov-21,noon,5,0,0,0,
11,26-Nov-21,noon,0,1,0,0,
10,27-Nov-21,noon,0,0,1,0,
11,27-Nov-21,noon,0,0,1,0,
