Field,Date,Initials,Cycle,DISS_Initials,DISS_G_Unpara,DISS_G_Para,DISS_G_fungus,DISS_G_p+f,DISS_R_Unpara,DISS_R_Para,DISS_R_Fungus,DISS_R_p+f
349,5/5/17,PU,1,PU,10,11,0,0,0,1,0,0
349,5/5/17,PU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,5/5/17,PU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,5/5/17,PU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,5/5/17,PU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,5/5/17,PU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,5/15/17,PU,1,SD,75,8,0,0,15,1,0,0
246,5/15/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,5/15/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,5/15/17,PU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,5/15/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,5/15/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,5/15/17,PU,1,PU,72,4,0,0,21,0,0,0
310,5/15/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,5/15/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,5/15/17,PU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,5/15/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,5/15/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,5/15/17,PU,1,SV,71,4,0,0,24,1,0,0
349,5/15/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,5/15/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,5/15/17,PU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,5/15/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,5/15/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,5/15/17,PU,1,SD,61,13,0,0,20,3,0,0
593,5/15/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,5/15/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,5/15/17,PU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,5/15/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,5/15/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,5/15/17,PU,1,PU,67,12,0,0,18,1,0,0
744,5/15/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,5/15/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,5/15/17,PU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,5/15/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,5/15/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,5/18/17,PU,1,PU+SD+SV,47,24,0,0,20,8,0,0
349,5/18/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,5/18/17,PU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,5/18/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,5/18/17,PU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,5/18/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,5/22/17,PU,1,SV,63,12,0,0,20,2,0,0
246,5/22/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,5/22/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,5/22/17,PU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,5/22/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,5/22/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,5/22/17,PU,1,SV,58,9,0,0,30,1,0,0
310,5/22/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,5/22/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,5/22/17,PU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,5/22/17,SV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,5/22/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,5/22/17,PU,1,SD,50,19,0,0,19,5,0,0
349,5/22/17,SD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
